page,length,radius
9,0.9,17
12,1.2,16
9.5,0.95,18
11,1.1,15
10,1,10
8.5,0.85,15
8.5,0.85,13
11.5,1.15,16
10.5,1.05,9
7,0.7,9
11,1.1,20
10.5,1.05,17
12.5,1.25,7
11,1.1,15
10.5,1.05,14
12.5,1.25,11
11,1.1,10
10.5,1.05,15
6,0.6,12
11,1.1,13
12,1.2,15
7,0.7,17
12,1.2,6
3,0.3,6
8.5,0.85,2
12.5,1.25,6
11,1.1,15
11.5,1.15,5
12,1.2,8
9,0.9,10
11.5,1.15,8
12,1.2,10
5,0.5,13
13,1.3,20
13,1.3,4
11,1.1,12
10.5,1.05,7
9,0.9,15
15,1.5,9
12,1.2,6
6,0.6,7
11,1.1,12
12.5,1.25,7
12,1.2,9
10.5,1.05,6
9.5,0.95,6
5.5,0.55,5
4,0.4,16
10,1,6.1
11.5,1.15,11
12,1.2,7
5,0.5,7.5
,0.85,15
,0.71,6.8
,0.97,5
,0.45,9
,1.08,8
,0.41,7
,0.7,9
,1,11
,0.58,14
,0.8,17
,0.6,14
,1.1,7
,8.6,19
,1.05,3
,1.05,3
,0.84,8.5
,0.76,7
,0.8,10
,1.55,12.5
,1.1,17
,1.15,11.5
,1.2,7
,1,16
,0.98,3.5
,0.7,15.5
,0.5,6.5
,0.85,6
,1.1,13
,1.2,8.5
,0.75,13.5
,1.1,
,0.95,
,1.1,
,0.6,
,1,
,0.81,
,1.15,
,0.91,
,0.4,
,1.2,
,1.3,
,0.96,
,1,
,0.95,
,0.4,
,1.2,
,1,
,0.55,
