page,length,radius
5771,0.65,9
5771,0.75,15
5771,0.55,16
5917,1.3,16
5917,1.2,17
5917,1.3,18
5780,1,14
5780,0.75,15
5780,0.5,11
5800,1,12
5800,1.25,10
5800,1.3,18
5800,0.95,4
5800,1.2,8
5753,1.15,9
5798,1.5,18
5798,1.25,19
5798,1.05,7.5
5700,0.75,15
5700,1,11
5700,1.15,16
5700,1.25,17
5994,1.2,10
5994,1.5,0
5994,0.8,0
5994,0.9,9
5994,0.3,6
5992,0.85,14
5992,1.3,7
5992,1.1,0
5992,1.25,0
5665,1.2,13
5665,1.05,0
5862,1.1,12
5862,1.25,14
5862,1.3,9
5862,1.1,5
5862,1.8,0
5692,1.5,13
5692,0.9,0
5692,0.65,0
5692,0.9,0
5692,0.9,0
5964,0.925,9
5964,1.15,15
5964,1.3,15
5964,1.2,0
5964,1.3,0
5964,1,0

9,0.9,17
12,1.2,16
9.5,0.95,18
11,1.1,15
10,1,10
8.5,0.85,15
8.5,0.85,13
11.5,1.15,16
10.5,1.05,9
7,0.7,9
11,1.1,20
10.5,1.05,17
12.5,1.25,7
11,1.1,15
10.5,1.05,14
12.5,1.25,11
11,1.1,10
10.5,1.05,15
6,0.6,12
11,1.1,13
12,1.2,15
7,0.7,17
12,1.2,6
3,0.3,6
8.5,0.85,2
12.5,1.25,6
11,1.1,15
11.5,1.15,5
12,1.2,8
9,0.9,10
11.5,1.15,8
12,1.2,10
5,0.5,13
13,1.3,20
13,1.3,4
11,1.1,12
10.5,1.05,7
9,0.9,15
15,1.5,9
12,1.2,6
6,0.6,7
11,1.1,12
12.5,1.25,7
12,1.2,9
10.5,1.05,6
9.5,0.95,6
5.5,0.55,5
4,0.4,16
10,1,6.1
11.5,1.15,11
12,1.2,7
5,0.5,7.5
,0.85,15
,0.71,6.8
,0.97,5
,0.45,9
,1.08,8
,0.41,7
,0.7,9
,1,11
,0.58,14
,0.8,17
,0.6,14
,1.1,7
,8.6,19
,1.05,3
,1.05,3
,0.84,8.5
,0.76,7
,0.8,10
,1.55,12.5
,1.1,17
,1.15,11.5
,1.2,7
,1,16
,0.98,3.5
,0.7,15.5
,0.5,6.5
,0.85,6
,1.1,13
,1.2,8.5
,0.75,13.5
,1.1,
,0.95,
,1.1,
,0.6,
,1,
,0.81,
,1.15,
,0.91,
,0.4,
,1.2,
,1.3,
,0.96,
,1,
,0.95,
,0.4,
,1.2,
,1,
,0.55,

5956,1,10
5956,1,15
5956,0.8,11
5956,1,13
5956,0.2,18
5863,1.2,8
5863,1,11
5863,0.9,3
5863,0.9,5
5863,1.2,6
5816,0.1,6
5816,0.9,7
5816,1.1,9
5816,1,11
5816,0.9,9
5816,1,20
5816,0.9,20
5918,1.1,2.5
5754,1.2,8
5754,0.7,7
5754,0.6,17
5754,1.1,7
5660,0.8,13
5660,1.2,5
5660,0.8,14
5951,0.7,5
5990,1.1,5
5990,1.3,8
5776,1.1,16
5776,1,6
5776,1,7
5776,1,15
5706,0.9,9
5706,1.1,13
5706,1,16
5706,1.2,4
5706,0.9,6
5683,0.7,9
5683,1,10
5827,0.8,7
5827,0.5,14
5827,1.1,12
5827,1,14
5674,1.1,20
5674,1,15
5674,0.9,14
5674,1.3,6
5674,0.9,16
5674,1,16
5670,1.1,10
5670,0.5,14
5670,1.1,10
5670,1.2,8
5670,0.7,14
5670,1.2,8
5911,1,20
5911,1.3,8
5752,1.1,3
5752,0.8,8
5752,1.1,9
5752,1.1,20
5716,0.4,7
5716,1.3,20
5716,0.7,6
5716,0.65,15
5713,1.1,8
5713,0.9,4
5713,1.2,12
5873,1,4
5873,1,7
5873,1.1,11
6001,1.05,14
6001,1.2,4
5853,1.15,15
5853,2.15,20
5853,0.45,11
5853,1.1,11
5914,0.8,18
5914,1.3,11
5914,1.12,14
5914,1.2,10
5852,0.8,19
5852,0.6,15
5852,1,14
5973,1.2,14
5973,1.2,12
5973,0.8,10
5802,1.2,12
5830,1,2
5830,0.9,7
5972,1.2,19
5972,0.9,7
5828,12,0.55
5828,28,1.1
5828,7,7
5664,10,1.05
5664,12,0.6
5664,10,0.65
5937,7,0.4
5937,10,1.15
5937,4,0.3
5937,14,1
5777,13,0.8
5651,13,1.1
5651,17,3.45
5697,5,1.1
5697,5,1.15
5690,7,1.15
5690,7,0.8
5690,10,0.7
5704,14,1.12
5704,11,1.35
5881,16,1.1
5881,9,1.2
5881,5,1
5926,9,0.6
5926,18,1.1
5926,9,1.1
5926,6,1.2
5894,9,1.2
5894,9,0.85
5880,3,1.05
5880,16,1.15
5826,11,1.25
5826,10,1.2
5859,13,1.1
5859,12,0.95
5985,10,0.9
5985,10,1.2

5650,0.7,9
,0.8,6
,1,22
,1.1,8
,1.15,12
,1.3,
,1,
5819,0.4,38
,0.7,
,1.1,
5657,1.2,13
,1.2,14
,0.7,14
,1.2,7
,1.1,
,0.9,
5851,0.9,5
,0.7,11
,1.3,9
,0.6,6
,1.2,6
,1.2,5
,1.2,
,0.6,
,0.9,
,1,
5823,1.2,7
,1.2,5
,1,5
,0.7,16
,0.4,19
,1.2,
,1.1,
5861,0.8,18
,0.6,8
,0.2,19
,0.9,7
,1.3,
,0.8,
,1.1,
5895,1.1,15
,1.1,
,0.7,
,0.9,
,1.2,
,0.5,
,1,
,1,
5874,1.3,13
,1.2,16
,0.5,3
,0.4,8
,0.9,
,0.9,
,1.1,
5829,1,18
,1.1,19
,0.7,17
,1.1,
,1,
5691,1.2,16
,0.9,11
,1.2,18
,0.4,
,0.7,
5688,1.1,7
,0.4,14
,1.2,10
,1,8
,1,
,1,
,0.7,
,1.1,
,1.2,
,1,
5718,1.3,11
,1,6
,0.9,
5962,1.1,13
,1.1,14
,1,7
,1.1,10
,1.1,
,0.6,
,1,
,0.9,
5695,1.1,14
,1.2,9
,1.15,12
,1.1,
5717,1.05,17
,0.5,19
,0.8,13
5818,0.8,8
,0.8,
,1.2,
,0.9,
5974,0.75,14
,1.2,5
,1.05,13
,1.2,13
,1.2,12
5865,0.8,8
,1.1,14
,1.2,
,1.2,15
,1.2,
,0.79,
,0.8,
5902,1.01,14
,0.89,17
,1.2,
,0.5,9
,1.2,
,1.1,
,0.95,12
,1.05,13
5854,1.1,11
,1.3,
,0.6,6
,1.1,
,0.55,13
,1,19
,1,
,0.8,
,1.25,7
5975,1.1,6
,1.15,12
,1.2,15
,1.15,14
,1.05,
5855,0.85,6
,1,
,0.9,17
,1.2,16
,1.15,
,1.1,12
5685,0.8,
,0.85,
,0.8,9
,1.15,16
,0.85,13
5654,0.8,
,1.1,
,1.2,22
,1.05,11
,0.75,5
,1,15
,1,11
5958,1,
,1.1,
,0.85,18
,0.8,6
,1.2,15
,1.1,11
5684,1.1,
,1.2,19
,0.8,9
,1,13
,1.2,15
,1.1,14
,0.9,
