frame,length(cm),radius (cm)
5771,0.65,9
5771,0.75,15
5771,0.55,16
5917,1.3,16
5917,1.2,17
5917,1.3,18
5780,1,14
5780,0.75,15
5780,0.5,11
5800,1,12
5800,1.25,10
5800,1.3,18
5800,0.95,4
5800,1.2,8
5753,1.15,9
5798,1.5,18
5798,1.25,19
5798,1.05,7.5
5700,0.75,15
5700,1,11
5700,1.15,16
5700,1.25,17
5994,1.2,10
5994,1.5,0
5994,0.8,0
5994,0.9,9
5994,0.3,6
5992,0.85,14
5992,1.3,7
5992,1.1,0
5992,1.25,0
5665,1.2,13
5665,1.05,0
5862,1.1,12
5862,1.25,14
5862,1.3,9
5862,1.1,5
5862,1.8,0
5692,1.5,13
5692,0.9,0
5692,0.65,0
5692,0.9,0
5692,0.9,0
5964,0.925,9
5964,1.15,15
5964,1.3,15
5964,1.2,0
5964,1.3,0
5964,1,0
