page,length,radius
5650,0.7,9
,0.8,6
,1,22
,1.1,8
,1.15,12
,1.3,
,1,
5819,0.4,38
,0.7,
,1.1,
5657,1.2,13
,1.2,14
,0.7,14
,1.2,7
,1.1,
,0.9,
5851,0.9,5
,0.7,11
,1.3,9
,0.6,6
,1.2,6
,1.2,5
,1.2,
,0.6,
,0.9,
,1,
5823,1.2,7
,1.2,5
,1,5
,0.7,16
,0.4,19
,1.2,
,1.1,
5861,0.8,18
,0.6,8
,0.2,19
,0.9,7
,1.3,
,0.8,
,1.1,
5895,1.1,15
,1.1,
,0.7,
,0.9,
,1.2,
,0.5,
,1,
,1,
5874,1.3,13
,1.2,16
,0.5,3
,0.4,8
,0.9,
,0.9,
,1.1,
5829,1,18
,1.1,19
,0.7,17
,1.1,
,1,
5691,1.2,16
,0.9,11
,1.2,18
,0.4,
,0.7,
5688,1.1,7
,0.4,14
,1.2,10
,1,8
,1,
,1,
,0.7,
,1.1,
,1.2,
,1,
5718,1.3,11
,1,6
,0.9,
5962,1.1,13
,1.1,14
,1,7
,1.1,10
,1.1,
,0.6,
,1,
,0.9,
5695,1.1,14
,1.2,9
,1.15,12
,1.1,
5717,1.05,17
,0.5,19
,0.8,13
5818,0.8,8
,0.8,
,1.2,
,0.9,
5974,0.75,14
,1.2,5
,1.05,13
,1.2,13
,1.2,12
5865,0.8,8
,1.1,14
,1.2,
,1.2,15
,1.2,
,0.79,
,0.8,
5902,1.01,14
,0.89,17
,1.2,
,0.5,9
,1.2,
,1.1,
,0.95,12
,1.05,13
5854,1.1,11
,1.3,
,0.6,6
,1.1,
,0.55,13
,1,19
,1,
,0.8,
,1.25,7
5975,1.1,6
,1.15,12
,1.2,15
,1.15,14
,1.05,
5855,0.85,6
,1,
,0.9,17
,1.2,16
,1.15,
,1.1,12
5685,0.8,
,0.85,
,0.8,9
,1.15,16
,0.85,13
5654,0.8,
,1.1,
,1.2,22
,1.05,11
,0.75,5
,1,15
,1,11
5958,1,
,1.1,
,0.85,18
,0.8,6
,1.2,15
,1.1,11
5684,1.1,
,1.2,19
,0.8,9
,1,13
,1.2,15
,1.1,14
,0.9,
