delta_t,timestamp
900,1442521310
5420,1442521318
1860,1442521320
8100,1442521322
2880,1442521331
6700,1442521344
3140,1442521360
5640,1442521361
7100,1442521367
17340,1442521367
18080,1442521369
11360,1442521373
2680,1442521374
12760,1442521376
6900,1442521381
6700,1442521392
7020,1442521393
1320,1442521395
10960,1442521398
19780,1442521399
6500,1442521419
2040,1442521421
13180,1442521424
12780,1442521425
520,1442521425
1240,1442521428
1820,1442521458
14720,1442521474
5860,1442521478
18900,1442521484
2580,1442521485
12380,1442521497
17840,1442521504
440,1442521505
600,1442521539
17140,1442521541
10000,1442521545
1340,1442521552
12940,1442521554
4440,1442521567
920,1442521584
8400,1442521587
13060,1442521616
300,1442521638
15940,1442521640
1660,1442521645
16640,1442521668
18260,1442521674
300,1442521677
2740,1442521678
10400,1442521706
1600,1442521714
360,1442521720
8820,1442521721
5780,1442521734
7440,1442521738
12500,1442521748
17560,1442521754
5640,1442521760
6820,1442521762
10600,1442521774
7240,1442521775
18360,1442521797
7700,1442521810
7540,1442521810
4220,1442521811
240,1442521814
8800,1442521828
10280,1442521831
12860,1442521835
11340,1442521840
720,1442521840
220,1442521846
10420,1442521857
760,1442521868
15100,1442521892
1400,1442521900
18420,1442521906
8580,1442521922
7560,1442521949
4360,1442521954
12060,1442521966
5180,1442521991
3380,1442521996
1320,1442522004
560,1442522011
4200,1442522014
8080,1442522022
3160,1442522028
200,1442522033
3620,1442522035
13400,1442522044
6080,1442522044
9840,1442522048
12140,1442522077
18500,1442522084
280,1442522084
12020,1442522090
4540,1442522092
14660,1442522103
4900,1442522109
12340,1442522131
10120,1442522139
3800,1442522149
320,1442522149
1700,1442522151
17260,1442522165
17480,1442522175
13120,1442522176
2080,1442522187
1200,1442522207
12700,1442522208
520,1442522219
17420,1442522232
12580,1442522247
1140,1442522261
480,1442522263
11940,1442522268
360,1442522292
16480,1442522295
6640,1442522309
10320,1442522325
1960,1442522334
15820,1442522337
11440,1442522338
8920,1442522340
16520,1442522353
7640,1442522356
9060,1442522362
920,1442522378
9520,1442522382
11980,1442522394
7140,1442522408
16980,1442522416
15320,1442522456
8800,1442522477
7440,1442522478
18300,1442522488
5180,1442522499
3480,1442522507
14980,1442522524
800,1442522536
200,1442522552
5060,1442522567
11980,1442522570
5420,1442522575
1720,1442522591
9860,1442522607
7240,1442522615
5480,1442522638
7660,1442522646
200,1442522669
4540,1442522690
16260,1442522713
8200,1442522720
2480,1442522750
11480,1442522772
1420,1442522779
6040,1442522784
9960,1442522791
2900,1442522811
2720,1442522819
18580,1442522820
640,1442522822
300,1442522828
8040,1442522841
1300,1442522844
19700,1442522847
5820,1442522855
1760,1442522860
19140,1442522877
140,1442522895
16380,1442522923
10680,1442522935
11600,1442522950
2460,1442522951
18980,1442522954
16480,1442522969
15720,1442522985
2080,1442522986
19640,1442522989
6040,1442522990
260,1442523004
1560,1442523015
9540,1442523017
15340,1442523028
1620,1442523029
19660,1442523030
6580,1442523031
1320,1442523063
2720,1442523072
13440,1442523077
4960,1442523108
17860,1442523109
10620,1442523111
5540,1442523113
17160,1442523119
4120,1442523132
11100,1442523132
11480,1442523153
3460,1442523160
7780,1442523166
2700,1442523167
840,1442523183
14700,1442523188
17620,1442523196
5200,1442523198
13100,1442523203
10800,1442523205
14540,1442523212
1200,1442523213
280,1442523213
9120,1442523222
6920,1442523223
5620,1442523226
2560,1442523228
2120,1442523229
15200,1442523248
160,1442523249
7620,1442523267
8240,1442523286
14000,1442523289
1500,1442523301
5360,1442523302
880,1442523308
13240,1442523319
19300,1442523332
9660,1442523370
9060,1442523374
3680,1442523383
1360,1442523390
1660,1442523393
1360,1442523406
2800,1442523411
4060,1442523434
4300,1442523456
1740,1442523474
8980,1442523485
11120,1442523523
6100,1442523525
13820,1442523527
2940,1442523527
2600,1442523537
11860,1442523551
7080,1442523568
4880,1442523608
13320,1442523617
18520,1442523619
4400,1442523621
17780,1442523622
15400,1442523632
280,1442523637
8920,1442523641
19300,1442523642
10560,1442523660
17260,1442523665
2640,1442523666
8000,1442523667
3680,1442523668
2140,1442523669
11820,1442523677
8440,1442523679
5420,1442523679
1320,1442523710
13060,1442523726
15500,1442523739
3540,1442523757
240,1442523760
2280,1442523764
4640,1442523813
5380,1442523839
13740,1442523840
16840,1442523854
9540,1442523856
18500,1442523857
9380,1442523864
17300,1442523872
15420,1442523877
220,1442523880
9280,1442523887
5620,1442523903
3380,1442523916
8020,1442523919
9120,1442523923
8160,1442523926
12720,1442523939
3940,1442523940
2060,1442523946
17280,1442523988
560,1442523993
4220,1442524004
1720,1442524005
1600,1442524013
5660,1442524024
1720,1442524041
240,1442524043
4820,1442524070
9680,1442524073
17560,1442524082
18320,1442524095
16100,1442524100
8920,1442524100
200,1442524105
10980,1442524139
1360,1442524152
10300,1442524161
16620,1442524164
16280,1442524167
2980,1442524170
840,1442524177
3860,1442524177
10420,1442524181
4300,1442524182
3680,1442524186
6420,1442524192
2280,1442524218
7240,1442524220
14900,1442524225
6760,1442524235
4340,1442524237
16260,1442524246
560,1442524256
1140,1442524270
4460,1442524279
14940,1442524281
12880,1442524295
1860,1442524295
140,1442524306
4260,1442524325
18300,1442524326
16720,1442524332
11560,1442524333
5060,1442524347
15940,1442524349
5560,1442524365
17420,1442524368
16400,1442524385
14180,1442524412
10040,1442524438
15900,1442524442
5620,1442524463
13800,1442524463
3240,1442524476
860,1442524480
18660,1442524486
15080,1442524507
5960,1442524514
5340,1442524534
8600,1442524537
1500,1442524546
6680,1442524555
13300,1442524561
1160,1442524564
15060,1442524565
14820,1442524570
15540,1442524571
11680,1442524571
2380,1442524574
240,1442524600
620,1442524606
14280,1442524608
440,1442524608
12060,1442524613
480,1442524614
6260,1442524624
1260,1442524634
11920,1442524646
14840,1442524648
12360,1442524651
14500,1442524651
5600,1442524657
15820,1442524659
440,1442524665
5260,1442524671
16220,1442524673
2180,1442524680
300,1442524685
2140,1442524694
4960,1442524716
2160,1442524742
9060,1442524753
980,1442524757
16380,1442524778
700,1442524789
17800,1442524798
2560,1442524807
2480,1442524817
19060,1442524837
320,1442524838
13540,1442524842
3440,1442524854
17320,1442524857
17580,1442524857
17800,1442524864
9820,1442524883
12140,1442524883
220,1442524887
18620,1442524888
5940,1442524894
9040,1442524903
2240,1442524907
3540,1442524924
16860,1442524954
320,1442524959
3060,1442524975
240,1442524978
14480,1442524989
320,1442525005
2460,1442525007
7060,1442525032
13920,1442525038
2400,1442525041
16220,1442525052
3700,1442525056
16700,1442525065
1880,1442525079
9600,1442525083
14520,1442525103
3200,1442525136
2160,1442525145
15600,1442525158
900,1442525172
17540,1442525186
11260,1442525186
2380,1442525191
19800,1442525194
1000,1442525200
260,1442525202
5280,1442525203
9260,1442525206
900,1442525214
320,1442525219
3320,1442525227
1320,1442525241
380,1442525245
17420,1442525248
3300,1442525255
8300,1442525279
6160,1442525282
18940,1442525285
19620,1442525291
14100,1442525300
8840,1442525312
2520,1442525318
6160,1442525328
16960,1442525349
2440,1442525350
3720,1442525357
4540,1442525360
7300,1442525363
13760,1442525374
4100,1442525374
1560,1442525385
280,1442525410
160,1442525422
11920,1442525423
700,1442525425
5420,1442525433
980,1442525445
660,1442525447
8840,1442525450
15500,1442525451
4380,1442525458
1440,1442525480
2940,1442525484
1140,1442525486
16960,1442525512
18400,1442525528
6660,1442525538
12020,1442525547
18900,1442525547
8620,1442525551
13940,1442525582
12520,1442525595
15380,1442525600
280,1442525606
3740,1442525615
16460,1442525619
11820,1442525638
7220,1442525644
11320,1442525656
600,1442525658
1760,1442525661
1800,1442525672
1140,1442525674
3460,1442525675
12620,1442525682
380,1442525704
1700,1442525706
14040,1442525709
8240,1442525731
3720,1442525732
18660,1442525743
6260,1442525749
1640,1442525756
9500,1442525757
5400,1442525759
8240,1442525767
9860,1442525769
11340,1442525773
1180,1442525780
3840,1442525797
2220,1442525807
7640,1442525819
4720,1442525843
11180,1442525850
15620,1442525853
1160,1442525867
1260,1442525870
9960,1442525871
5780,1442525875
19140,1442525895
17780,1442525904
1820,1442525905
18880,1442525916
14160,1442525924
700,1442525945
10780,1442525948
10020,1442525958
18240,1442525973
2660,1442525978
8480,1442525980
320,1442525987
860,1442526017
240,1442526057
14280,1442526083
18760,1442526087
5540,1442526088
13280,1442526096
15940,1442526110
18020,1442526111
14260,1442526130
5080,1442526145
7980,1442526145
5220,1442526145
12080,1442526158
3720,1442526163
5700,1442526168
13740,1442526173
19900,1442526173
2140,1442526193
3340,1442526205
13540,1442526206
9660,1442526208
19800,1442526211
18320,1442526217
2540,1442526222
12000,1442526223
12240,1442526232
780,1442526236
12080,1442526239
7120,1442526247
300,1442526248
14100,1442526283
18500,1442526284
17040,1442526285
4960,1442526294
1700,1442526299
15300,1442526304
15600,1442526322
14060,1442526341
12400,1442526343
11600,1442526350
13060,1442526351
3320,1442526354
10120,1442526363
300,1442526372
7020,1442526385
760,1442526386
17740,1442526390
7640,1442526403
17840,1442526408
1460,1442526411
17200,1442526414
11820,1442526415
3200,1442526419
1280,1442526437
17640,1442526438
17400,1442526447
1820,1442526449
11020,1442526454
3740,1442526491
15900,1442526493
3740,1442526495
1900,1442526536
2680,1442526541
1240,1442526547
2360,1442526563
4300,1442526567
13400,1442526571
14840,1442526590
17860,1442526606
460,1442526608
12380,1442526620
18360,1442526624
12400,1442526632
3280,1442526645
12340,1442526650
5560,1442526652
7140,1442526652
10160,1442526676
4060,1442526692
4640,1442526692
2060,1442526701
19620,1442526710
360,1442526711
15120,1442526713
14640,1442526713
1480,1442526720
3620,1442526733
2720,1442526739
9500,1442526755
13980,1442526777
6840,1442526779
3080,1442526794
1560,1442526798
4840,1442526821
9320,1442526836
3320,1442526843
12200,1442526861
7440,1442526873
1700,1442526875
7360,1442526895
6800,1442526898
9520,1442526915
9620,1442526936
17140,1442526955
2960,1442526957
19280,1442526981
2460,1442526988
240,1442527001
15100,1442527030
600,1442527044
1100,1442527055
15840,1442527068
19280,1442527070
1280,1442527080
11060,1442527087
15880,1442527087
2260,1442527088
10940,1442527108
10680,1442527133
580,1442527141
520,1442527142
14460,1442527144
15080,1442527164
8420,1442527191
1640,1442527199
17220,1442527207
7400,1442527211
14440,1442527215
16540,1442527216
7940,1442527224
11500,1442527230
15360,1442527240
12000,1442527243
1740,1442527243
540,1442527246
1580,1442527265
5920,1442527267
620,1442527275
9460,1442527276
2600,1442527283
320,1442527284
1340,1442527285
4900,1442527285
540,1442527290
7260,1442527299
5340,1442527301
3760,1442527322
15420,1442527345
13740,1442527381
100,1442527399
18960,1442527407
8420,1442527412
17600,1442527412
1460,1442527428
220,1442527432
9500,1442527438
17740,1442527439
7240,1442527472
6180,1442527534
14260,1442527536
120,1442527550
19420,1442527565
3660,1442527570
12640,1442527576
180,1442527589
16580,1442527590
1480,1442527602
4520,1442527612
14360,1442527633
5180,1442527634
1180,1442527635
5560,1442527649
7300,1442527652
1360,1442527656
440,1442527675
15420,1442527684
5640,1442527691
14140,1442527701
900,1442527720
13340,1442527722
9420,1442527733
5600,1442527738
18040,1442527751
10120,1442527754
320,1442527757
5340,1442527757
1500,1442527761
2780,1442527763
10460,1442527769
11760,1442527771
8300,1442527798
14520,1442527804
360,1442527807
2580,1442527808
3020,1442527821
18040,1442527821
19620,1442527832
7660,1442527836
14680,1442527839
19080,1442527841
13600,1442527842
8580,1442527858
13300,1442527865
10140,1442527868
3540,1442527877
17380,1442527878
1380,1442527889
800,1442527890
3480,1442527898
14880,1442527903
3760,1442527904
18160,1442527905
7080,1442527909
240,1442527916
13060,1442527922
9960,1442527925
11180,1442527935
440,1442527942
2120,1442527943
2780,1442527944
19480,1442527953
6140,1442527954
2200,1442527972
13940,1442527978
15620,1442527999
4780,1442528009
4520,1442528011
400,1442528011
6680,1442528029
19600,1442528053
13940,1442528059
1420,1442528076
5780,1442528077
280,1442528086
280,1442528091
15720,1442528097
1000,1442528101
16380,1442528104
120,1442528114
15620,1442528138
12280,1442528150
19940,1442528161
18180,1442528164
440,1442528176
320,1442528178
1140,1442528195
8260,1442528208
14240,1442528216
18140,1442528218
3040,1442528221
3780,1442528223
19880,1442528238
12320,1442528243
2180,1442528243
1860,1442528251
2240,1442528253
4040,1442528264
11240,1442528271
1600,1442528272
840,1442528284
18000,1442528313
12320,1442528314
15420,1442528315
18580,1442528318
17620,1442528324
1500,1442528324
6580,1442528329
200,1442528333
11140,1442528341
13700,1442528343
1800,1442528365
8260,1442528368
1760,1442528372
7300,1442528374
17080,1442528387
15180,1442528392
19240,1442528405
3440,1442528413
11020,1442528415
8320,1442528418
13120,1442528424
3800,1442528432
460,1442528437
1640,1442528447
15880,1442528455
6820,1442528459
5460,1442528462
13220,1442528463
700,1442528467
9320,1442528472
14480,1442528479
16180,1442528480
1300,1442528483
300,1442528485
12080,1442528494
1100,1442528523
19920,1442528537
17020,1442528555
16320,1442528559
300,1442528566
14940,1442528573
2280,1442528573
16880,1442528593
260,1442528596
15820,1442528604
360,1442528605
680,1442528615
10720,1442528621
2120,1442528625
17560,1442528625
12560,1442528650
5800,1442528654
1460,1442528657
420,1442528672
3560,1442528685
7680,1442528695
5960,1442528724
11200,1442528741
2600,1442528744
100,1442528751
18400,1442528752
1760,1442528761
1940,1442528782
320,1442528801
13320,1442528803
15660,1442528823
1240,1442528828
11320,1442528831
17320,1442528845
340,1442528869
7880,1442528870
840,1442528870
9440,1442528870
19420,1442528871
260,1442528874
10840,1442528879
13560,1442528881
8320,1442528890
11640,1442528891
12780,1442528899
1000,1442528904
6880,1442528906
1840,1442528913
1660,1442528946
15380,1442528949
16980,1442528950
2920,1442528970
6680,1442528994
840,1442528994
4720,1442529006
13840,1442529032
300,1442529067
19940,1442529078
18320,1442529079
6260,1442529082
18860,1442529082
18660,1442529085
7560,1442529090
11160,1442529091
6460,1442529099
19820,1442529099
360,1442529105
18380,1442529108
2340,1442529124
14520,1442529140
15080,1442529183
19420,1442529184
6200,1442529199
5980,1442529201
3080,1442529217
11080,1442529218
17560,1442529218
18740,1442529224
17360,1442529225
2480,1442529234
3320,1442529238
10900,1442529239
16200,1442529246
5640,1442529261
17840,1442529262
13260,1442529264
6100,1442529274
17180,1442529282
820,1442529283
9640,1442529289
15260,1442529291
1780,1442529294
160,1442529306
11200,1442529308
340,1442529310
1220,1442529310
12720,1442529323
3920,1442529397
14000,1442529397
15080,1442529398
19420,1442529411
340,1442529421
16100,1442529424
4000,1442529425
7000,1442529436
3440,1442529441
3620,1442529442
8200,1442529464
19460,1442529477
12920,1442529525
11420,1442529535
19780,1442529557
220,1442529558
17380,1442529573
2600,1442529573
13440,1442529574
7960,1442529579
12500,1442529579
7420,1442529587
8580,1442529591
320,1442529599
280,1442529601
7560,1442529602
13680,1442529606
620,1442529638
12300,1442529673
18800,1442529673
17840,1442529710
5180,1442529734
16940,1442529737
14480,1442529754
300,1442529759
12960,1442529778
320,1442529788
15940,1442529794
17760,1442529800
4260,1442529803
7460,1442529837
19440,1442529838
4380,1442529846
2260,1442529849
1240,1442529856
4620,1442529863
19640,1442529876
4040,1442529881
1240,1442529888
4240,1442529888
18400,1442529920
4600,1442529931
9400,1442529932
9800,1442529937
15080,1442529955
16300,1442530011
9620,1442530027
3180,1442530027
280,1442530030
380,1442530038
1520,1442530039
540,1442530046
11200,1442530071
7380,1442530078
7760,1442530080
17660,1442530085
100,1442530096
8680,1442530114
2560,1442530157
260,1442530159
1260,1442530177
1840,1442530201
3440,1442530206
2360,1442530211
840,1442530215
2320,1442530242
11400,1442530250
6860,1442530263
3980,1442530287
3880,1442530305
11680,1442530319
1180,1442530321
2140,1442530324
17600,1442530331
1160,1442530332
16500,1442530333
18880,1442530343
4380,1442530348
11720,1442530367
15280,1442530377
4680,1442530392
3020,1442530399
260,1442530399
11000,1442530404
4440,1442530405
3900,1442530405
15540,1442530418
8140,1442530425
14440,1442530430
1940,1442530460
11520,1442530468
2540,1442530508
18720,1442530549
15020,1442530555
7860,1442530556
3140,1442530593
1300,1442530593
3940,1442530598
13100,1442530602
13220,1442530612
19880,1442530625
18720,1442530642
17820,1442530642
4580,1442530652
240,1442530665
5020,1442530698
2700,1442530700
5860,1442530712
2800,1442530712
10500,1442530725
1800,1442530734
9820,1442530745
4820,1442530799
13340,1442530801
2120,1442530803
860,1442530814
840,1442530822
1960,1442530829
18080,1442530833
5580,1442530836
17560,1442530841
9820,1442530864
280,1442530871
6960,1442530872
7100,1442530887
14880,1442530892
4580,1442530896
12380,1442530899
5780,1442530901
8180,1442530904
260,1442530905
11740,1442530932
4000,1442530952
7120,1442530953
3320,1442530958
13440,1442530967
8140,1442530970
3600,1442530976
2860,1442530985
11000,1442530985
6080,1442530996
12380,1442531006
11900,1442531020
12120,1442531032
6140,1442531034
1880,1442531044
7160,1442531047
440,1442531050
320,1442531064
6040,1442531076
15180,1442531083
10380,1442531084
1740,1442531091
19140,1442531093
4520,1442531096
1340,1442531104
9800,1442531112
15460,1442531138
5720,1442531141
5520,1442531152
10300,1442531159
14320,1442531183
300,1442531190
16440,1442531203
13980,1442531223
13580,1442531225
16440,1442531227
6180,1442531239
11640,1442531247
10600,1442531248
6420,1442531253
220,1442531260
3100,1442531268
12780,1442531279
5080,1442531295
7080,1442531298
9560,1442531300
12200,1442531302
16420,1442531306
19980,1442531323
19660,1442531339
6840,1442531349
16440,1442531355
240,1442531355
12620,1442531357
7080,1442531393
15500,1442531396
12120,1442531417
5660,1442531435
4500,1442531442
4360,1442531448
16400,1442531475
11100,1442531475
13400,1442531476
1260,1442531478
19660,1442531482
8980,1442531482
7000,1442531488
9880,1442531511
8780,1442531514
6780,1442531519
13940,1442531523
3900,1442531530
19320,1442531569
12140,1442531569
4320,1442531569
3760,1442531573
17900,1442531587
19080,1442531612
5180,1442531615
12000,1442531617
17600,1442531641
9020,1442531646
8980,1442531672
320,1442531677
19320,1442531678
15700,1442531685
5140,1442531695
19140,1442531700
17720,1442531704
17560,1442531705
11040,1442531715
1640,1442531730
5840,1442531747
6980,1442531748
2180,1442531758
18380,1442531784
9640,1442531785
2180,1442531802
10960,1442531812
2980,1442531813
3040,1442531818
1980,1442531851
760,1442531853
12980,1442531857
10540,1442531863
11600,1442531869
12780,1442531891
4460,1442531896
19520,1442531914
11460,1442531925
6180,1442531933
1720,1442531943
14300,1442531948
7120,1442531953
17080,1442531957
800,1442531964
14100,1442531966
17360,1442531973
3300,1442532001
7960,1442532005
3400,1442532008
14040,1442532008
7440,1442532009
7520,1442532043
2140,1442532053
280,1442532055
12900,1442532063
16420,1442532067
16320,1442532074
560,1442532076
480,1442532097
2380,1442532114
15400,1442532115
6220,1442532116
18900,1442532120
4060,1442532125
9100,1442532126
2160,1442532146
13840,1442532158
19040,1442532159
2960,1442532160
2400,1442532161
10920,1442532180
1860,1442532191
13080,1442532191
13060,1442532205
10880,1442532210
11520,1442532229
16420,1442532240
16200,1442532248
12840,1442532256
2380,1442532262
13260,1442532263
6900,1442532264
6000,1442532264
5720,1442532271
3140,1442532279
2560,1442532292
10880,1442532298
7700,1442532309
9660,1442532342
10340,1442532355
12280,1442532360
18160,1442532373
340,1442532444
1160,1442532444
15860,1442532477
7600,1442532480
440,1442532486
2220,1442532494
13680,1442532495
6960,1442532536
6660,1442532546
13600,1442532549
4300,1442532551
1740,1442532569
11500,1442532576
300,1442532607
2640,1442532609
12900,1442532657
8360,1442532661
3020,1442532670
1240,1442532676
1700,1442532696
7500,1442532706
6260,1442532715
3500,1442532721
18960,1442532728
2260,1442532742
10720,1442532746
16980,1442532747
1640,1442532752
5300,1442532756
16300,1442532759
3480,1442532761
8280,1442532786
280,1442532790
5380,1442532803
10940,1442532808
280,1442532811
5840,1442532816
4320,1442532817
6940,1442532832
18760,1442532833
3620,1442532863
8160,1442532866
920,1442532878
240,1442532879
8780,1442532880
15520,1442532884
120,1442532889
19660,1442532891
13020,1442532915
13360,1442532922
15840,1442532923
2000,1442532931
5520,1442532936
3900,1442532939
19500,1442532946
4380,1442532948
12880,1442532954
7400,1442532963
6380,1442532969
14020,1442532976
420,1442532983
10200,1442532986
520,1442532997
7340,1442532997
1900,1442532998
15680,1442532999
2380,1442533031
1820,1442533049
18700,1442533052
4520,1442533054
9320,1442533060
8120,1442533068
680,1442533090
240,1442533100
10600,1442533108
8840,1442533112
4240,1442533148
19880,1442533157
14820,1442533163
1620,1442533170
260,1442533175
19580,1442533187
9120,1442533191
10220,1442533194
2240,1442533195
15560,1442533213
18760,1442533236
3820,1442533240
19280,1442533277
13000,1442533278
6080,1442533281
11660,1442533289
7420,1442533291
6480,1442533293
6340,1442533294
11740,1442533295
19480,1442533308
11640,1442533318
1380,1442533323
4140,1442533326
12200,1442533327
4460,1442533347
5080,1442533350
6360,1442533355
720,1442533363
3420,1442533373
10440,1442533375
12580,1442533386
8100,1442533389
2820,1442533389
2660,1442533392
4420,1442533393
280,1442533425
18340,1442533432
3320,1442533489
2240,1442533502
16180,1442533502
3980,1442533504
18940,1442533506
5600,1442533514
12740,1442533520
12540,1442533527
3700,1442533542
19960,1442533546
4060,1442533547
16820,1442533554
18720,1442533557
3920,1442533579
8580,1442533591
18840,1442533612
1120,1442533613
6920,1442533626
19200,1442533628
320,1442533656
11440,1442533656
360,1442533664
15620,1442533669
10020,1442533687
19440,1442533688
13120,1442533699
2520,1442533701
3880,1442533708
15240,1442533725
2560,1442533726
340,1442533748
18120,1442533748
9560,1442533755
5320,1442533756
2500,1442533764
16880,1442533769
19560,1442533776
1440,1442533791
10560,1442533816
11280,1442533818
7800,1442533832
10480,1442533848
420,1442533864
19800,1442533872
1380,1442533874
920,1442533875
1860,1442533892
12840,1442533896
480,1442533904
10780,1442533906
19940,1442533933
1740,1442533939
7640,1442533951
18880,1442533961
17580,1442533975
480,1442533990
8980,1442533990
1280,1442533991
7360,1442534010
4260,1442534014
2720,1442534016
11700,1442534024
18220,1442534028
15040,1442534029
19540,1442534037
9200,1442534040
12940,1442534044
1380,1442534065
2640,1442534074
12120,1442534079
15520,1442534083
2380,1442534092
280,1442534107
1420,1442534115
19620,1442534116
380,1442534116
17980,1442534135
9660,1442534137
7200,1442534144
200,1442534152
9980,1442534155
18120,1442534160
14200,1442534168
16780,1442534173
4620,1442534184
18360,1442534188
860,1442534195
6540,1442534199
160,1442534221
3920,1442534229
2080,1442534237
6580,1442534241
11160,1442534245
340,1442534258
6200,1442534270
4040,1442534278
2360,1442534286
10620,1442534316
2640,1442534333
16500,1442534349
3880,1442534357
6440,1442534361
6240,1442534366
6280,1442534367
3060,1442534385
10880,1442534405
13340,1442534419
11880,1442534420
1860,1442534430
340,1442534437
19620,1442534440
12900,1442534463
3620,1442534468
19180,1442534481
