trial,voltage,current,d1,d2,d3,d4
1,120,0.75,12.7,13,12.5,13.2
2,120,0.81,13.25,12,12.25,11.9
3,120,0.97,11.64,11.5,10.5,10.3
4,120,1.05,9.25,10.15,9.4,9.25
5,120,1.15,9.5,8.8,9.25,9.5
6,120,1.25,7.7,7.75,8.5,8.75
7,120,1.3,7.5,8,7.35,7.5
8,120,1.38,8,7.75,6.5,6.5
9,120,1.44,6.7,7.25,7.3,6.75
10,120,1.6,6.75,6.75,6.35,6.45
11,120,1.75,5,5.5,5.7,6
12,120,1.9,5.75,5.6,4.75,4.6
13,120,2.08,4.75,5,4,4.6
14,120,2.2,4.25,4.2,4.75,4.75
15,120,2.3,3.9,3.7,3.75,4.5
16,120,2.4,3.5,3.95,4,4.5
17,120,2.5,3.6,3.6,3.75,4
18,120,2.6,3.5,3.75,3.75,3.5
19,120,2.75,3.6,3.3,3.25,3.5
20,120,3,2.5,3.5,3.1,2.8
