5,5.5,6,6.5,7,7.5,8,9,10,11,12,14,16,18,20,25,30,35,40,45,50,60,70,80,90,100
35.3,33.1,30.1,27.4,24,20.6,18.4,14.9,12.2,9.8,8.3,6.5,4.6,3.8,3.2,2,1.5,1.1,0.9,0.7,0.5,0.4,0.3,0.3,0.2,0.1
0.04,0.03306,0.02778,0.02367,0.02041,0.01778,0.01563,0.01235,0.01,0.00826,0.00694,0.0051,0.00391,0.00309,0.0025,0.0016,0.00111,8.20E-04,6.30E-04,4.90E-04,4.00E-04,2.80E-04,2.00E-04,1.60E-04,1.20E-04,1.00E-04
35.2,33,30,27.3,23.9,20.5,18.3,14.8,12.1,9.7,8.2,6.4,4.5,3.7,3.1,1.9,1.4,1,0.8,0.6,0.4,0.3,0.2,0.2,0.1,0
,,,,,,,,,,,,,,,,,,,,,,,,,
Distance,Radiation,1 / x^2 (cm^2),Radiation - Ambient (mV),,,,,,,,,,,,,,,,,,,,,,
5,35.3,0.04,35.2,,,,,,,,,,,,,,,,,,,,,,
5.5,33.1,0.03306,33,,,,,,,,,,,,,,,,,,,,,,
6,30.1,0.02778,30,,,,,,,,,,,,,,,,,,,,,,
6.5,27.4,0.02367,27.3,,,,,,,,,,,,,,,,,,,,,,
7,24,0.02041,23.9,,,,,,,,,,,,,,,,,,,,,,
7.5,20.6,0.01778,20.5,,,,,,,,,,,,,,,,,,,,,,
8,18.4,0.01563,18.3,,,,,,,,,,,,,,,,,,,,,,
9,14.9,0.01235,14.8,,,,,,,,,,,,,,,,,,,,,,
10,12.2,0.01,12.1,,,,,,,,,,,,,,,,,,,,,,
11,9.8,0.00826,9.7,,,,,,,,,,,,,,,,,,,,,,
12,8.3,0.00694,8.2,,,,,,,,,,,,,,,,,,,,,,
14,6.5,0.0051,6.4,,,,,,,,,,,,,,,,,,,,,,
16,4.6,0.00391,4.5,,,,,,,,,,,,,,,,,,,,,,
18,3.8,0.00309,3.7,,,,,,,,,,,,,,,,,,,,,,
20,3.2,0.0025,3.1,,,,,,,,,,,,,,,,,,,,,,
25,2,0.0016,1.9,,,,,,,,,,,,,,,,,,,,,,
30,1.5,0.00111,1.4,,,,,,,,,,,,,,,,,,,,,,
35,1.1,8.20E-04,1,,,,,,,,,,,,,,,,,,,,,,
40,0.9,6.30E-04,0.8,,,,,,,,,,,,,,,,,,,,,,
45,0.7,4.90E-04,0.6,,,,,,,,,,,,,,,,,,,,,,
50,0.5,4.00E-04,0.4,,,,,,,,,,,,,,,,,,,,,,
60,0.4,2.80E-04,0.3,,,,,,,,,,,,,,,,,,,,,,
70,0.3,2.00E-04,0.2,,,,,,,,,,,,,,,,,,,,,,
80,0.3,1.60E-04,0.2,,,,,,,,,,,,,,,,,,,,,,
90,0.2,1.20E-04,0.1,,,,,,,,,,,,,,,,,,,,,,
100,0.1,1.00E-04,0,,,,,,,,,,,,,,,,,,,,,,
