page,length,radius
5956,1,10
5956,1,15
5956,0.8,11
5956,1,13
5956,0.2,18
5863,1.2,8
5863,1,11
5863,0.9,3
5863,0.9,5
5863,1.2,6
5816,0.1,6
5816,0.9,7
5816,1.1,9
5816,1,11
5816,0.9,9
5816,1,20
5816,0.9,20
5918,1.1,2.5
5754,1.2,8
5754,0.7,7
5754,0.6,17
5754,1.1,7
5660,0.8,13
5660,1.2,5
5660,0.8,14
5951,0.7,5
5990,1.1,5
5990,1.3,8
5776,1.1,16
5776,1,6
5776,1,7
5776,1,15
5706,0.9,9
5706,1.1,13
5706,1,16
5706,1.2,4
5706,0.9,6
5683,0.7,9
5683,1,10
5827,0.8,7
5827,0.5,14
5827,1.1,12
5827,1,14
5674,1.1,20
5674,1,15
5674,0.9,14
5674,1.3,6
5674,0.9,16
5674,1,16
5670,1.1,10
5670,0.5,14
5670,1.1,10
5670,1.2,8
5670,0.7,14
5670,1.2,8
