Voltage,Current ,D(1)cm,D(2)cm,D(3),D(4),R(1),R(2),R(3),R(4),Average(cm),Average(mm)
120,0.8,11.9,11.7,11.9,12,5.95,5.85,5.95,6,5.9375,59.375
120,0.85,11,10.9,11.4,11.1,5.5,5.45,5.7,5.55,5.55,55.5
120,0.9,10.5,10.7,10.7,11,5.25,5.35,5.35,5.5,5.3625,53.625
120,0.95,10.1,10.2,10.1,10.3,5.05,5.1,5.05,5.15,5.0875,50.875
120,1,9.7,9.8,9.7,9.8,4.85,4.9,4.85,4.9,4.875,48.75
120,1.05,9.2,9.5,9.3,9.2,4.6,4.75,4.65,4.6,4.65,46.5
120,1.1,8.7,8.8,8.8,8.9,4.35,4.4,4.4,4.45,4.4,44
120,1.15,8.4,8.5,8.4,8.6,4.2,4.25,4.2,4.3,4.2375,42.375
120,1.2,8,8.3,8.1,8.1,4,4.15,4.05,4.05,4.0625,40.625
120,1.25,7.8,7.8,7.9,7.9,3.9,3.9,3.95,3.95,3.925,39.25
120,1.35,7.2,7.3,7.3,7.4,3.6,3.65,3.65,3.7,3.65,36.5
120,1.45,6.9,6.5,6.8,6.9,3.45,3.25,3.4,3.45,3.3875,33.875
120,1.55,6.3,6.1,6.4,6.3,3.15,3.05,3.2,3.15,3.1375,31.375
120,1.65,6,5.9,6.1,6,3,2.95,3.05,3,3,30
120,1.75,5.7,5.8,5.7,5.7,2.85,2.9,2.85,2.85,2.8625,28.625
120,1.95,5.1,5.2,5,5.1,2.55,2.6,2.5,2.55,2.55,25.5
120,2.15,4.6,4.7,4.8,4.8,2.3,2.35,2.4,2.4,2.3625,23.625
120,2.35,4.3,4.3,4.4,4.2,2.15,2.15,2.2,2.1,2.15,21.5
120,2.55,3.9,4,4.1,4,1.95,2,2.05,2,2,20
120,2.75,3.8,3.6,3.6,3.6,1.9,1.8,1.8,1.8,1.825,18.25
