total,dt,ut
22.75,8.96,13.79
23.25,9.28,13.97
2.01,0.98,1.03
6.21,2.84,3.37
33.34,12.28,21.06
4.68,1.99,2.69
2.06,1.03,1.03
3.21,1.56,1.65
2.55,1.02,1.53
4.49,1.99,2.5
6.89,3.42,3.47
7.65,3.5,4.15
1.71,0.85,0.86
5.32,2.54,2.78
2.21,1.03,1.18
14.27,6.2,8.07
5.34,2.56,2.78
3.55,1.67,1.88
11.95,4.92,7.03
4.99,2.49,2.5
10.59,4.96,5.63
30.4,14.34,16.06
38.89,16.86,22.03
15.71,7.81,7.9
3.11,1.48,1.63
5.37,2.68,2.69
37.39,16.92,20.47
7.98,3.94,4.04
7.33,3.39,3.94
4.29,1.94,2.35
11.91,5.57,6.34
9.15,4.03,5.12
5.04,2.41,2.63
6.21,3.09,3.12
30.15,12.18,17.97
5.9,2.93,2.97
3.13,1.38,1.75
6.25,3.09,3.16
14.68,6.03,8.65
8.36,3.23,5.13
4.93,2.31,2.62
3.12,1.37,1.75
8.99,4.34,4.65
4.69,1.69,3
3.84,1.78,2.06
4.05,1.89,2.16
14.31,5.46,8.85
31.03,10.18,20.85
12.93,5.62,7.31
8.56,3.87,4.69
10.53,4.62,5.91
16.62,7.84,8.78
7.87,3.78,4.09
7.78,3.28,4.5
21.94,4.63,17.31
6.15,2.99,3.16
10.81,5.03,5.78
6.21,2.96,3.25
10.88,4.22,6.66
12.15,5.75,6.4
6.39,2.92,3.47
2.33,1.11,1.22
10.86,4.8,6.06
64.55,13.06,51.49
7.23,3.36,3.87
7.57,3.38,4.19
3.25,1.43,1.82
6.65,3.06,3.59
3.31,1.59,1.72
4.02,1.98,2.04
4.16,1.69,2.47
21.11,8.89,12.22
7.76,3.82,3.94
8.03,3.71,4.32
8.02,3.98,4.04
7.63,3.76,3.87
7.34,3.46,3.88
6.93,3.4,3.53
6.67,3.23,3.44
6.68,3.28,3.4
6.22,2.97,3.25
6.22,2.97,3.25
26.64,12.3,14.34
9.31,4.62,4.69
8.84,4.34,4.5
5.99,2.59,3.4
6.28,2.71,3.57
6.32,2.72,3.6
6.81,3.15,3.66
9.79,4.32,5.47
10.3,4.64,5.66
11.13,4.6,6.53
21.02,7.8,13.22
14.88,5.82,9.06
10.59,4.59,6
10.82,4.94,5.88
13.72,5.85,7.87
5.31,2.5,2.81
17.1,6.66,10.44
11.95,4.7,7.25
