Element,Emission Line,Angle1*2,Angle2*2,Angle3*2,Avg Angle*2,Avg Angle (degrees),Avg Angle (radians),small angle (rad),large angle (rad),Wavelength (Angstroms)
Helium,violet,30.5,30.5,30.5,30.5,15.25,0.266162711,0.257436061,0.274889361,157.8187287
,cyan,32.5,34,33,33.16666667,16.58333334,0.289433768,0.280707118,0.298160418,171.2457544
,dim green,33.5,33.5,33.75,33.58333333,16.79166667,0.29306987,0.28434322,0.30179652,173.3355344
,bright green,34.5,34.5,34.25,34.41666667,17.20833334,0.300342075,0.291615425,0.309068725,177.5081919
,yellow,40.5,40.5,40.5,40.5,20.25,0.353429174,0.344702524,0.362155824,207.6702342
,bright red,46.5,46,46.25,46.25,23.125,0.40360739,0.39488074,0.41233404,235.6430563
,dim red,49.75,49.25,49.5,49.5,24.75,0.43196899,0.42324234,0.44069564,251.1958425
,,,,,,,,,,
Hydrogen,purple farther out,28.5,28.5,29,28.66666667,14.33333334,0.250163859,0.241437209,0.258890509,148.5376329
,purple closer in,29.75,29,29,29.25,14.625,0.255254403,0.246527753,0.263981053,151.4949462
,cyan,33.5,33.5,33.5,33.5,16.75,0.29234265,0.283616,0.3010693,172.9177609
,red,45.5,46,45.5,45.66666667,22.83333334,0.398516846,0.389790196,0.407243496,232.8311035
,,,,,,,,,,
Mystery,green,38,39,38.5,38.5,19.25,0.335975881,0.327249231,0.344702531,197.8143872
,orange,41,41,40.5,40.83333333,20.41666667,0.356338056,0.347611406,0.365064706,209.3068061
,red,46,46,46,46,23,0.401425728,0.392699078,0.410152378,234.4386771
