Molecule,Color,Measure1,Measure2,Measure3,Average phi
Hydrogen,Violet,13.25,13.50,14.05,13.60
Hydrogen,Blue,15.75,14.60,14.75,15.03
Hydrogen,Green,18.75,18.55,17.20,18.17
Hydrogen,Orange/Yellow,20.75,19.90,19.80,20.15
Hydrogen,Red,22.70,24.50,21.70,22.97
Helium,Violet,13.85,14.75,13.80,14.13
Helium,Blue,16.30,16.00,14.95,15.75
Helium,Green,16.35,17.75,16.20,16.77
Helium,Orange/Yellow,20.45,20.75,19.30,20.17
Helium,Red,23.40,24.00,23.60,23.67
Mystery,Violet,14.50,14.75,14.20,14.48
Mystery,Blue,15.75,16.15,15.25,15.72
Mystery,Green,18.75,17.15,18.00,17.97
Mystery,Orange/Yellow,20.85,19.95,20.20,20.33
Mystery,Red,23.25,21.70,21.25,22.07
